Date,Days,Cases
30-01-2020,1,1
31-01-2020,2,1
01-02-2020,3,1
02-02-2020,4,2
03-02-2020,5,3
04-02-2020,6,3
05-02-2020,7,3
06-02-2020,8,3
07-02-2020,9,3
08-02-2020,10,3
09-02-2020,11,3
10-02-2020,12,3
11-02-2020,13,3
12-02-2020,14,3
13-02-2020,15,3
14-02-2020,16,3
15-02-2020,17,3
16-02-2020,18,3
17-02-2020,19,3
18-02-2020,20,3
19-02-2020,21,3
20-02-2020,22,3
21-02-2020,23,3
22-02-2020,24,3
23-02-2020,25,3
24-02-2020,26,3
25-02-2020,27,3
26-02-2020,28,3
27-02-2020,29,3
28-02-2020,30,3
29-02-2020,31,3
01-03-2020,32,3
02-03-2020,33,6
03-03-2020,34,9
04-03-2020,35,32
05-03-2020,36,33
06-03-2020,37,34
07-03-2020,38,37
08-03-2020,39,43
09-03-2020,40,50
10-03-2020,41,65
11-03-2020,42,65
12-03-2020,43,77
13-03-2020,44,85
14-03-2020,45,100
15-03-2020,46,110
16-03-2020,47,114
17-03-2020,48,140
18-03-2020,49,170
19-03-2020,50,198
20-03-2020,51,249
21-03-2020,52,329
22-03-2020,53,391
23-03-2020,54,468
24-03-2020,55,519
25-03-2020,56,606
26-03-2020,57,646
